food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424.0,4.67,76.23,11.14,1.1,36.28,406.0,1.0
"ARCHWAY Home Style Cookies, Strawberry Filled",400.0,4.35,65.92,13.26,2.2,31.76,377.0,6.0
"ARROWHEAD,CKD,BLD,DRND,W/SALT",78.0,4.49,16.14,0.1,3.44,5.3420000000000005,254.0,0.0
"ARROWHEAD,CKD,BLD,DRND,WO/SALT",78.0,4.49,16.14,0.1,1.62,9.966,18.0,0.0
"ARROWHEAD,RAW",99.0,5.33,20.23,0.29,2.9400000000000004,9.854,22.0,0.0
ARROWROOT FLOUR,357.0,0.3,88.15,0.1,3.4,17.428,2.0,0.0
"ARROWROOT,RAW",65.0,4.24,13.39,0.2,1.3,7.12,26.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",51.0,2.89,11.39,0.34,5.7,0.99,296.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",53.0,2.89,11.95,0.34,5.7,0.99,60.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45.0,3.11,9.18,0.5,4.6,0.84,289.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",45.0,3.11,9.18,0.5,4.6,0.84,53.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",38.0,2.63,7.75,0.43,3.9,3.2806,47.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),RAW",47.0,3.27,10.51,0.15,5.4,0.99,94.0,0.0
"ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY",407.0,4.7,77.45,8.7,6.326,28.4894,760.0,0.0
"ARUGULA,RAW",25.0,2.58,3.65,0.66,1.6,2.05,27.0,0.0
ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),20.0,3.8,0.0,0.5,0.5424,2.5332,656.0,7.0
"ASPARAGUS,CKD,BLD,DRND",22.0,2.4,4.11,0.22,2.0,1.3,14.0,0.0
"ASPARAGUS,CKD,BLD,DRND,W/SALT",22.0,2.4,4.11,0.22,2.0,1.3,240.0,0.0
"ASPARAGUS,CND,DRND SOL",19.0,2.14,2.46,0.65,1.6,1.06,287.0,0.0
"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",15.0,1.8,2.48,0.18,1.0,1.0,26.0,0.0
"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",15.0,1.8,2.48,0.18,1.0,2.3212,284.0,0.0
"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",18.0,2.95,1.92,0.42,1.6,0.32,240.0,0.0
"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",18.0,2.95,1.92,0.42,1.6,0.32,3.0,0.0
"ASPARAGUS,FRZ,UNPREP",24.0,3.23,4.1,0.23,1.9,2.462,8.0,0.0
"ASPARAGUS,RAW",20.0,2.2,3.88,0.12,2.1,1.88,2.0,0.0
"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE",494.0,7.5,60.0,24.9,1.3,13.5,900.0,3.0
"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",461.0,7.8,68.0,17.5,1.4,14.6,884.0,3.0
"AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,SANDWICH-TYPE",489.0,7.8,62.6,23.0,1.3,14.3,978.0,3.0
"AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,SANDWICH-TYPE",495.0,7.9,61.4,24.5,1.8,14.6,839.0,3.0
"AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE",479.0,7.7,66.2,20.8,2.0,17.3,584.0,0.0
"AUSTIN,GRILLED CHS ON WAFER CRACKERS,SANDWICH-TYPE",493.0,7.9,62.0,23.8,1.3,12.6,910.0,3.0
"AUSTIN,PB & J CRACKERS,SANDWICH-TYPE",484.0,7.6,65.7,21.7,2.0,16.7,582.0,0.0
