food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Soya Drink Vanilla Flavour - sofit - 200 ml,"325 kj
(77 kcal)",25.2 g,0.74 g,3.2 g,1.6 g,1.8 g,23.7 g
Mediterranean Khubus 6's,"1,215 kj
(290 kcal)",7.7 g,64.2 g,0.3 g,,2.5 g,
cornitos Nacho Crisps - 60g,,,,,,,0%
farm land frozen green peas - Farmland - 1kg,0.3 g,0 g,1 g,0 g,0 g,0 g,0 % vol
99% Cacao Ultimate Dark Chocolate - Amul,"2,184 kj
(522 kcal)",14.7 g,28.4 g,40.8 g,,1.2 g,0.15 g
Snikers,"2,038 kj
(487 kcal)",9.3 g,57.7 g,25.4 g,,49.5 g,0.555 g
Potato chips,"444 kj
(106 kcal)",1.4 g,10.1 g,6.7 g,,0.3 g,
Peanut butter regular - sundrop - 924g,"2,707 kj
(647 kcal)",0 mg,29.6 g,55 g,0 g,8 g,15.2 g
Marie Gold - Britannia - 1 Packet,"1,862 kj
(445 kcal)",8.4 g,78.9 g,10.7 g,,21.9 g,
Curd,"258 kj
(61 kcal)",3.5 g,5.2 g,3 g,0.1 g,1 g,0.112 g
green peas onion garlic - heritage namkeen Pvt ltd - 25g,,,,,,,0%
Hazelnut Spread with Cocoa PMP - nutella - 825 g,"2,251 kj
(538 kcal)",6.3 g,57.5 g,30.9 g,,56.3 g,0.107 g
Frooti - Parle - 300ml,"272 kj
(65 kcal)",,16.2 g,,,2.5 g,
Maxirich Multivitamin - Nutrraceutical,"2,180 kj
(532 kcal)",1.82 g,7.27 g,54.5 g,,0 g,
Coke - Coca cola - 2 l,"153 kj
(36 kcal)",0 g,10.156 g,0 g,0 g,10.156 g,
Pintola all natural peanut butter (crunchy) - 1 kg,"2,667 kj
(637 kcal)",31.25 g,18.75 g,50 g,9.375 g,3.125 g,
Pringles - Kelloggs - 107g,"2,188 kj
(523 kcal)",0 g,0.3 g,27.9 g,0.4 g,62.8 g,5 g
Mango Pickle - Swastiks - 100g,"0 kj
(0 kcal)",1.5 g,0 g,2.4 g,2.5 g,0 mg,0.7 g
Treat Jimjam,"2,021 kj
(483 kcal)",5 g,73 g,19 g,,33.5 g,0 g
Krack Jack - Parle - 250g,"2,046 kj
(489 kcal)",19.6 g,0 g,19.9 g,70.5 g,0 mg,-
Kelloggs Corn Flakes - 100g,"1,088 kj
(260 kcal)",2 g,36 g,9.3 g,0.8 g,2.5 g,0.525 g
Steel cut oats,"1,661 kj
(397 kcal)",14.2 g,66 g,8.5 g,10.2 g,0 g,
Sago ball - Gopal,"2,159 kj
(516 kcal)",1.2 g,69 g,26.2 g,1 g,4 g,
Lotte Choco Pie - 56g,"1,845 kj
(441 kcal)",34 g,17 g,17 g,68 g,0 mg,0 g
50-50 Maska Chaska - Britannia - 45.5g,"2,100 kj
(502 kcal)",0 g,0 g,26 g,7.5 g,60 g,7 g
All Rounder - Sunfeast - 75g,"1,971 kj
(471 kcal)",0 g,0 g,19.5 g,15.4 g,66.7 g,7.2 g
Toastea premium rusk - Britannia - 200g,"1,812 kj
(433 kcal)",23 g,0 g,8.3 g,80.7 g,0 mg,0 g
Swing,"145 kj
(34 kcal)",0 g,8.8 g,0 g,0 g,8.6 g,
Molsis Zahidi Dates - Bolas Agro - 500g,"1,172 kj
(280 kcal)",8 g,0 mg,0 g,60 g,68 g,4 g
Enerzal,"226 kj
(54 kcal)",0 g,13.5 g,0 g,,10.35 g,0.356 g
Nutrela,"1,486 kj
(355 kcal)",21.92 g,63.9 g,1.31 g,10.02 g,0 g,17 g
Boisson soja,"172 kj
(41 kcal)",1.9 g,2.8 g,0.8 g,0.4 g,1.95 g,0.15 g
Britannia - 78g,"0 kj
(0 kcal)",8.4 g,78.9 g,10.7 g,0 g,21.9 g,0 g
Lipton Green Tea - Unilever and PepsiCo. - 25N,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0 g
Sprite Coca-Cola - कोका कोला क - 2 l,"205 kj
(49 kcal)",,12.2 g,,,11.7 g,25.65 g
Classic Cold Coffee - Cothas - 250 ml,"385 kj
(92 kcal)",3.4 g,13.3 g,2.8 g,,9 g,
Honey Bell vanilla cake,"1,874 kj
(448 kcal)",7.1 g,51.9 g,23.5 g,0 g,51 g,0 g
Winkin Cow,"498 kj
(119 kcal)",3.1 g,16.7 g,4.4 g,,16.7 g,0.21 g
Jeera Masala,"84 kj
(20 kcal)",0 g,5 g,0 g,0 g,5 g,0 g
Savoriz - Bauli - 52 g,"1,695 kj
(405 kcal)",7.8 g,< 0.1 g,20.2 g,48.1 g,"< 1,000 mg",
Tomato Ketchup - 950g,0.17 g,,24.7 g,0.12 g,1.4 g,,0%
Tomato pickle,"846 kj
(202 kcal)",2.96 g,11.92 g,15.86 g,1.2 g,3.7 g,10.531 g
Lemon pickle,"614 kj
(146 kcal)",1.88 g,8.33 g,11.77 g,,1.6 g,10.388 g
Rol a cola,"1,636 kj
(391 kcal)",0 g,97.8 g,0 g,,80.3 g,
Vatika shanpu - 6.6,"105 kj
(25 kcal)",89 g,55 g,75 g,86 g,87 g,66 g
Dark fantasy,"2,017 kj
(482 kcal)",5.3 g,73.5 g,18.6 g,,38.5 g,0.3 g
Orange Squash,"895 kj
(214 kcal)",0.2 g,52.5 g,0.3 g,0.1 g,52 g,0.2 g
happydent,,,,,,,0%
Drink - 8901764022708 - fanta,"234 kj
(56 kcal)",0 g,14 g,0.9 g,,13.79 g,
Bread sticks Sesame,"1,801 kj
(430 kcal)",12.31 g,75.82 g,7.87 g,3.1 g,4.4 g,0.125 g
Roll Yo!,"1,686 kj
(403 kcal)",5.5 g,60 g,15.7 g,,38.2 g,1 g
Tomato Ketchup - kissan - weight: 1.2 kg,"556 kj
(133 kcal)",1.1 g,31 g,0.4 g,0.6 g,29.2 g,2.37 g
Gamini,,,,,,,0%
Golden sizzle,"2,134 kj
(510 kcal)",8 g,55 g,29 g,10 g,0 g,
Tofu - 200 g,"569 kj
(136 kcal)",16.5 g,8 g,6 g,0 g,0 g,0.255 g
Protein Peanut Butter,"2,422 kj
(578 kcal)",37 g,19.6 g,40.1 g,4.2 g,0 g,0.002 g
STAINLESS - RK,,,,,,,0%
Hajmola anaardana 120Tabs - 5,,,,,,,0%
My companion Longbook 108p - 5,,,,,,,0%
Milk shakr chocolate flavour - Hershey's - 1,"377 kj
(90 kcal)",1.778 g,16.778 g,1.889 g,0 g,16.778 g,0.129 g
Bread sticks herb,"1,653 kj
(395 kcal)",8.2 g,68.5 g,9.8 g,,2.7 g,0 g
Rice crisps,"1,820 kj
(435 kcal)",6.85 g,75.325 g,11.8 g,,2.875 g,
Arabian Dates,"1,353 kj
(323 kcal)",2.31 g,77.88 g,0.3 g,7.35 g,69.81 g,0.154 g
Peri Peri Sauce,"286 kj
(68 kcal)",0.88 g,7.52 g,3.85 g,,3.85 g,0 g
Oreo - 7,"2,008 kj
(480 kcal)",5.3 g,70.7 g,19.5 g,,38.6 g,1.245 g
Top ramen curry flavour - 5,"1,933 kj
(462 kcal)",8.9 g,64.6 g,18.7 g,0 g,5.1 g,0 g
Greek yoghurt alphonso mango,"431 kj
(103 kcal)",6.4 g,15.6 g,1.7 g,0 g,11.8 g,0.105 g
Rice cakes mix masala - 84 g,"435 kj
(104 kcal)",3.72 g,21.45 g,0.44 g,2.53 g,0.53 g,0.145 g
Lassi,"318 kj
(76 kcal)",1.8 g,13.5 g,1.7 g,,13.5 g,
Little hearts,"2,033 kj
(486 kcal)",7.4 g,70 g,19.5 g,0 g,23 g,
Fried Rice with Chilli Paneer - Haldiram,"598 kj
(142 kcal)",3.571 g,17.857 g,6.357 g,1.429 g,0.357 g,
Good Day Butter Cookies - Britannia - 68g,"2,067 kj
(494 kcal)",,6.5 mg,22 g,22 g,67 g,7 g
Britannia Nutri Choice Digestive - 50g,"2,079 kj
(497 kcal)",0 mg,8 g,,0 g,2.4 g,68.4 g
Protein Lassi - Mango flavour - Amul - 250 ml,"251 kj
(60 kcal)",,1 mg,0.32 g,4 g,12.6 g,6 g
Mountain Dew - MEWATI 🔔 - 1.25 l,"205 kj
(49 kcal)",0 g,12.3 g,0 g,-,12.3 g,0.02 g
Vegain - Man matters,,,,,,,0%
Sourdough. Pav - Bakers dozen,"1,096 kj
(262 kcal)",8.85 g,49 g,3.6 g,,,
Herbal Power Vita - Patanjali - 500 g,"1,640 kj
(391 kcal)",6.53 g,87.07 g,1.94 g,,72.66 g,
Dant Kanti - Patanjali Ayurved - 150 g,,,,,,,0%
Chocolat soy milk,"1,176 kj
(281 kcal)",3.4 g,9.9 g,1.5 g,0.5 g,8.9 g,
Continental This is Caramel coffee - Continental Coffee Limited - 22g,"386 kj
(92 kcal)",0.79 g,15.3 g,3 g,1.5 g,11.6 g,0.16 g
Barramundi - The Better Fish,"370 kj
(88 kcal)",18.584 g,0 g,1.327 g,0 g,0 g,
Refreshing Green Tea Morocan Mint,"1,473 kj
(352 kcal)",18.79 g,70.28 g,0.1 g,0 g,0.1 g,0 g
SPORT EVOLVE PERFORMANCE PLANT PROTEIN -TROPICAL MANGO - 1 kg,"1,575 kj
(376 kcal)",73.5 g,14.7 g,1.8 g,,0 g,
Noodle snack - Tasty treat,"2,008 kj
(480 kcal)",10 g,60 g,,,,
fortune premium kachi ghani pure mustard oil - adani Wilmar - 1kg.,"3,766 kj
(900 kcal)",0 g,1 g,100 g,0 g,0 g,0 g
Sting - 250 ml,"38 kj
(9 kcal)",0 g,7 g,0 g,0 g,6.8 g,
Milk Cake - Lal,"1,531 kj
(366 kcal)",10 g,53 g,15 g,,51 g,
Mixed pickle - Mother's Recipe - 1kg,,,,,,,9.09%
Sprite - Coca Cola - 750 ml,,,,,,,0%
Sprite,"205 kj
(49 kcal)",,12.2 g,,,11.7 g,
Patanjali Divya Jal - 1 l,"0 kj
(0 kcal)",0 g,0 g,0 g,,,
Lychee & Pink Guava,"167 kj
(40 kcal)",0.29 g,9.82 g,0 g,,9.76 g,0 g
Kundan.kumar - dabar - 120g,"1,100 kj
(1100 kcal)",50 g,25 g,50 g,50 g,50 g,50 g
Ginger Beer non-alcoholic,"146 kj
(34 kcal)",0.1 g,8.6 g,0 g,,7.85 g,
Yakult,"209 kj
(50 kcal)",0.8 g,11.5 g,0.1 g,,10.5 g,0 g
Milk-Ma Butter Cookies - 200g,"1,515 kj
(362 kcal)",6.28 g,48 g,16 g,1.42 g,1.14 g,0.518 g
Milk-Ma whole wheat critters - 150g,"1,515 kj
(362 kcal)",6.28 g,48 g,16 g,1.42 g,1.14 g,0.518 g
Cashew biscuits - Milk Ma - 200g,"1,515 kj
(362 kcal)",6.28 g,48 g,16 g,1.42 g,1.14 g,0.518 g
Parle Mazelo Candy - 198 g,"1,590 kj
(380 kcal)",0 g,95.1 g,0 g,,79.7 g,0.046 g
Almond Drink,"105 kj
(25 kcal)",1.7 g,0.3 g,1.9 g,,0.2 g,
Kinley water,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0 g
Quinoa Muesli - Chocolate and Banana -,"1,644 kj
(393 kcal)",12.13 g,71.53 g,6.43 g,7.26 g,6.25 g,1.8 g
On The Run Energy Bar Choco Crunch,"2,084 kj
(498 kcal)",10 g,56 g,26.5 g,0 g,50 g,0 g
Soft spot plant based smoked cheese - 200g,"1,200 kj
(288 kcal)",1.6 g,13.2 g,25.2 g,0 g,0 g,1.78 g
Cola Kombucha,"38 kj
(9 kcal)",1.14 g,4.13 g,0.09 g,0 g,3.13 g,
Glucon-D - 300 - 200g,"200 kj
(368 kcal)",0 g,92 g,0 g,0 g,45 g,
Jelly mazza,"1,477 kj
(353 kcal)",0.2 g,87.9 g,0 g,0 g,34.1 g,
"Popped lotus seeds, himalayan salt and pepper","2,176 kj
(520 kcal)",7.3 g,57.12 g,29.14 g,,4.52 g,2.325 g
Sliced Brown Bread,"1,076 kj
(257 kcal)",10.45 g,48.87 g,2.56 g,,2 g,0.89 g
kkk - Jj's Bakery - 1pis,,,,,,,0%
Mighty Mango,"176 kj
(42 kcal)",0.8 g,96 g,0 g,0 g,8 g,0 g
Classic Lemon Flavoured Ice Tea,"117 kj
(28 kcal)",0 g,7 g,0 g,0 g,7 g,0 g
Amul Ice Cream - 2L,"1,067 kj
(255 kcal)",1.4 g,26.8 g,14.6 g,,18.4 g,
sprite - 750ml,"159 kj
(38 kcal)",,,,,,
Daawat Rozana Basmati Rice - 5 kg,"1,607 kj
(384 kcal)",1.9 g,0 mg,0.5 g,0 g,78 g,8.2 g
Asparagus -  - 100g,"837 kj
(200 kcal)",2.2 g,3.9 g,0.1 g,0 g,1.9 g,50 g
Apis Classic Dates - 500g,"1,180 kj
(282 kcal)",2.45 g,75.03 g,,8 g,,
Home chef Pasta Macaroni Elbow -  - 875g,"1,536 kj
(367 kcal)",11 g,79.8 g,0.4 g,3 g,1.8 g,0.018 g
Quaker Oats - 40 g,"1,703 kj
(407 kcal)",11.8 g,68.5 g,9.5 g,10 g,1.8 g,23.75 g
Kombucha Cranberry,"112 kj
(26 kcal)",0.67 g,6.01 g,0 g,0 g,5.25 g,0 g
Shortbread,"2,159 kj
(516 kcal)",6.54 g,61 g,27.5 g,0 g,18 g,0 g
Oreo,"2,021 kj
(483 kcal)",5.2 g,71.9 g,19.6 g,,38.8 g,1.208 g
Sweet chilli Doritos,"2,088 kj
(499 kcal)",6.6 g,65.5 g,23.4 g,,6.5 g,1.602 g
Spanish tomato tango,"2,272 kj
(543 kcal)",7.1 g,53.2 g,33.5 g,,5.12 g,1.648 g
ujoygnhyyhyyhhggyhhh - ducthv - hkb,,,,,,,0%
Banana chips,"2,295 kj
(548 kcal)",1.7 g,62.92 g,32 g,2.8 g,0 g,
Butter cookies,"2,113 kj
(505 kcal)",6.4 g,65.4 g,24 g,23 g,0 g,0 g
Roasted peanuts - 140 g,"2,636 kj
(630 kcal)",52 g,4 g,9 g,1 g,4 g,
LaxmiNarayan Patal Poha Chiwda (Indian snack) - 250 g,"1,988 kj
(475 kcal)",16.37 g,60.27 g,19.14 g,14.18 g,4.35 g,0.418 g
Nutties - Cadbury - 30g,"2,117 kj
(506 kcal)",5.1 g,67.2 g,24.5 g,1.2 g,61.7 g,0.278 g
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour - 40 g,"2,264 kj
(541 kcal)",,0.1 g,31.1 g,2 g,54.6 g,7.3 g
Athavale's Patal Poha Chivada (Indian Snack) - 200 g,"2,002 kj
(478 kcal)",9.19 g,63.89 g,20.68 g,,4.75 g,
Yellow Chana - Charliee - 185g,"502 kj
(120 kcal)",6 g,20 g,2 g,4 g,,0.356 g
Cadbury Temptations Rum & Raisin Chocolate Bar - 72 g,"2,084 kj
(498 kcal)",,11.6 mg,26.1 g,53.2 g,61.8 g,5.7 g
Cornflakes Chiwda (fried Indian snack) - LaxmiNarayan - 250 g,"2,522 kj
(602 kcal)",42.96 g,17.97 g,43 g,0 g,11.26 g,16.71 g
Moong dal - Haldiram's - 400 g,"1,992 kj
(476 kcal)",50.66 g,3.81 g,20.93 g,0 mg,8.61 g,0 g
Cashews,"2,636 kj
(630 kcal)",18.6 g,0 g,49.6 g,1.3 g,0 g,0 g
Shrikhand - Amul,"992 kj
(237 kcal)",5.3 g,42 g,5 g,,41 g,
Brunos,"17 kj
(4 kcal)",7.8 g,50.3 g,10 g,,50 g,
Dahi - Amul,"257 kj
(61 kcal)",4 g,4.4 g,3.1 g,,,
Laccha paratha,"1,272 kj
(304 kcal)",7.2 g,46.7 g,9.8 g,5.7 g,1.4 g,0 g
Tadka chaach,"79 kj
(19 kcal)",40 g,1.5 g,1.3 g,,0 g,0.588 g
Butter Chakli - Charliee - 105g,"2,230 kj
(533 kcal)",6.67 g,60 g,30 g,0.32 g,3.33 g,6.67 g
Multigrain chips,"2,022 kj
(483 kcal)",8.333 g,66.667 g,20 g,5 g,9.167 g,2.5 g
Piknik Classic Tomato Chilli (fried Indian snack) - 70g,"2,146 kj
(513 kcal)",,11.7 g,27.6 g,57.6 g,2.7 g,
Protein Buttermilk - Amul - 200 ml,"226 kj
(54 kcal)",7.5 g,4 g,0.5 g,,0 g,0.127 g
Potato stix,"2,121 kj
(507 kcal)",5.1 g,66 g,24.5 g,2.8 g,4.9 g,0.92 g
Masala Roasted Chana - Bam Bam - 200g,"1,437 kj
(343 kcal)",21.43 g,54.83 g,4.26 g,,,
Roasted Peanut - Diamond - 200g,,,,,,,0%
Banana Chips - Ela,"2,171 kj
(519 kcal)",2.3 g,58.4 g,33.6 g,7.7 g,35.34 g,0.015 g
Roasted Peanuts - Diamond,"2,646 kj
(632 kcal)",4.2 g,18.4 g,49.7 g,22.7 g,5.5 g,
Munchini,"1,966 kj
(470 kcal)",6 g,74 g,17 g,4 g,45 g,5 g
Masala munch,"2,335 kj
(558 kcal)",6.4 g,55.2 g,34.6 g,,1 g,2.23 g
osam misti dahi - 80gms,,,,,,,0%
Masala oats,"1,515 kj
(362 kcal)",11.9 g,64.1 g,12.1 g,12.7 g,4.7 g,5.315 g
Fittr,"1,598 kj
(382 kcal)",5.56 g,0 g,68.36 g,14.63 g,0 g,8.32 g
Orange Delight - Tropicana - 200 ml,"209 kj
(50 kcal)",,0.082 g,,12 g,12.4 g,0.1 g
Alpenliebe gold cream strawberry flavor candy,"1,727 kj
(412 kcal)",0.12 g,88 g,6.7 g,,55 g,
Parle cream n onion chips,"31 kj
(7 kcal)",8.1 g,57.1 g,32.8 g,,4.1 g,1.472 g
Too Yumm! Rings - Tomato Twist - 75g,"2,063 kj
(493 kcal)",67 g,9.4 g,22.5 g,0.1 g,2.6 g,6.9 g
Munch choclate bar,"1,962 kj
(469 kcal)",6.3 g,62.9 g,21.3 g,2.8 g,31.4 g,0.312 g
Mukharochak chira bhaja,"2,540 kj
(607 kcal)",11 g,48 g,38 g,0 g,3 g,0.608 g
Kwality Walls Oreo Chocolate Icecream,"527 kj
(126 kcal)",2 g,15.3 g,6.3 g,0.3 g,12.6 g,0.118 g
Parle peri peri chips,"2,343 kj
(560 kcal)",7.2 g,57.2 g,33.6 g,,2.2 g,1.732 g
The Laughing Cow Creamy Cheese,"987 kj
(236 kcal)",11 g,5 g,20 g,,0 g,0.72 g
Epigamia Greek Yogurt Vanilla Bean,"414 kj
(99 kcal)",7 g,13.4 g,1.9 g,,13.4 g,0.151 g
Pancake Mix,"1,506 kj
(360 kcal)",7.7 g,69.8 g,5.5 g,2 g,12.7 g,2.172 g
Dr. Oetker Peanut Butter,"2,686 kj
(642 kcal)",26.3 g,19.3 g,51 g,,7.5 g,0 g
American Garden Pancake Syrup,"920 kj
(220 kcal)",0 g,55 g,0 g,0 g,39 g,0.262 g
Nacho Crisps Sizzling Jalapeno - Cornitos - 60 g,"2,017 kj
(482 kcal)",3.57 g,7.14 g,21.42 g,3.57 g,67.8 g,7.14 g
Phulka Roti - Haldiram's - 900 g,"1,185 kj
(283 kcal)",8.333 g,48.333 g,5.833 g,5 g,1.667 g,0.375 g
Pomegranate Delight - Tropicana - 200 ml,"197 kj
(47 kcal)",,0.051 g,0 g,11.4 g,11.8 g,
Rusk - Parle - 273 g,"1,860 kj
(444 kcal)",7.407 g,77.778 g,11.111 g,0 g,25.926 g,0.787 g
Chevdo,"2,464 kj
(589 kcal)",15.2 g,40.9 g,38.8 g,,8 g,
Haldiram Nut Cracker - Haldiram's - 42g,"2,653 kj
(634 kcal)",20 g,26 g,50 g,,0.3 g,3.75 g
Veg mayonnaise - Dr. Oetker - 100g,"2,101 kj
(502 kcal)",7.3 g,0 g,51.8 g,8.6 g,0 mg,0 g
Lemon Rice - MTR - 250 g,"944 kj
(225 kcal)",2.96 g,31.2 g,10 g,0 g,0 g,1.85 g
Amla Juice - Baidyanath - 1 L,,,,,,,0%
Natural whole wheat parato - ID,"1,368 kj
(327 kcal)",11 g,35 g,16 g,2 g,0 g,0.47 g
Chips,"2,301 kj
(550 kcal)",7 g,54 g,34 g,,2.6 g,1.275 g
9.06037E+11,"50.2 kj
(12 kcal)",,0.96 g,0.62 g,,,
Wheat flour - 5 kg,"1,469 kj
(351 kcal)",12.4 g,73.2 g,0.96 g,,,
Goodmylk Mylk - 200 ml,"184 kj
(44 kcal)",0.8 g,1.3 g,4 g,0.2 g,1 g,
Atom protien powder,"19 kj
(4 kcal)",27 g,47 g,1 g,,0 g,
Potato Chips (Plain Salted flavour) - Uncle Chipps - 52g,"2,293 kj
(548 kcal)",6.7 g,52 g,35 g,,0.6 g,1.501 g
Brown Bread,"1,038 kj
(248 kcal)",7.8 g,48 g,1.7 g,5 g,2.4 g,1.125 g
Natural Cheddar slices - D'lecta - 200 g,"1,632 kj
(390 kcal)",24 g,6 g,30 g,,0 g,
Apple cider vinegar - American garden - 473ml,"130 kj
(31 kcal)",0 g,0 g,0 g,0 g,0 g,0.02 g
spicy banana chips,"2,377 kj
(568 kcal)",3 g,49 g,40 g,,2 g,1.6 g
Happydent white - 10.2g,0 g,0 g,70 g,,,,0%
8.90601E+12,,,,,,,0%
Pop Rings - Balaji,"2,066 kj
(493 kcal)",7.055 g,67.019 g,21.164 g,0 g,0 g,2.116 g
Ice cream mix - 100g,"1,681 kj
(401 kcal)",0.1 g,95.3 g,2.2 g,,93 g,0.16 g
India's magic masala - Lay's - 20 g.,,,,,,,0%
hot ´n’ spicy chilli+ pepper noodles - 100 g,"2,030 kj
(485 kcal)",10 g,0.78 g,21.5 g,62.95 g,0 g,0 g
Gobhi Paratha - 400 g,"1,088 kj
(260 kcal)",7 g,34 g,11 g,4 g,0 g,1.475 g
Paneer onion paratha - Haldiram,"1,255 kj
(300 kcal)",8 g,33 g,15 g,3 g,0 g,1.375 g
Orbit Chewing Gum - Wrigley's - 22g,"774 kj
(185 kcal)",0 g,70 g,1.6 g,0 g,0 g,0.005 g
Fresh tomato ketchup - Kissan,"84 kj
(20 kcal)",0.2 g,4.6 g,0.1 g,0.1 g,4.4 g,9.6 g
Dakshin - Haldiram's - 180 g,"0 kj
(0 kcal)",3 g,49 g,40 g,5.71 g,2 g,1.6 g
Lassi - Amul,"741 kj
(177 kcal)",4.2 g,29 g,42 g,,29 g,0.15 g
Chocobakes Choc layered Cakes - Cadbury - 21 g,"1,946 kj
(465 kcal)",41.1 g,0.1 g,21.9 g,63.7 g,"4,000 mg",
Bhujia sev - Haldiram's - 400g,"2,477 kj
(592 kcal)",18.85 g,37.14 g,43.5 g,,0 g,
test hoc - 200,"100 kj
(100 kcal)",10 g,20 g,50 g,,,4 g
X-press Instant Noodles Vegetable Flavour 70g - WAI WAI - 70g packet,"1,943 kj
(481 kcal)",1.5 g,0 g,21 g,63 g,0 mg,2 g
amul,,,,,,,0%
Oats - Kellogg's,"1,586 kj
(379 kcal)",11.6 g,67.8 g,9 g,,0 g,
Khatta Meetha - Haldiram - 1,"2,218 kj
(530 kcal)",9.26 g,57.38 g,29.25 g,4.01 g,4.26 g,0 g
Breakfast Protein Bar Apricot Fig - Yoga Bar - 50g,"1,858 kj
(444 kcal)",7 g,2.7 g,15 g,18.4 g,61 g,16.4 g
Milk Bikis - Britannia - 100g,"418 kj
(100 kcal)",6.897 g,75.862 g,13.793 g,3.448 g,27.586 g,0.776 g
Aquafina - 500 ml,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0.003 g
Top Ramen Masala - Nissin,"1,892 kj
(452 kcal)",8.2 g,69.24 g,15.83 g,,1.79 g,
Chikki Bar - Haldiram's - 45 g,"2,226 kj
(532 kcal)",16.83 g,46.81 g,30.81 g,5.87 g,36.13 g,82.025 g
SWEET & SALTY,"2,038 kj
(487 kcal)",7 g,72 g,19 g,,19.5 g,1.115 g
Water - gagandeep - 3333,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0 g
Bikano Rasgolla,"1,341 kj
(320 kcal)",2.88 g,74.72 g,0 g,,74.72 g,0.1 g
Salt - TATA - 1.0KG,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,
Glucon - D - zydus wellness products ltd - 250g,"1,506 kj
(360 kcal)",0 g,90 g,0 g,,0 g,
LADDU - Daily Delight - 454g,"1,674 kj
(400 kcal)",21.429 g,0 g,7.143 g,62.857 g,5 mg,8.571 g
Waffy - choco flavoured wafer roll - Dukes - 250 g,"1,883 kj
(450 kcal)",4.2 g,75.7 g,14.55 g,,47.1 g,
Salsa - Dr. Oetker - 300 g,"316 kj
(75 kcal)",1.7 g,17.1 g,0.04 g,,11.4 g,2.453 g
fizz - Appy Fizz,"226 kj
(54 kcal)",0 g,13.6 g,0 g,,13.6 g,
Parlè Agro - 1,"259 kj
(62 kcal)",0 g,15.7 g,0 g,0.2 g,13 g,
Pomegranate juice -  - 1 l,"197 kj
(47 kcal)",0 g,11.8 g,0 g,,11.4 g,0.132 g
Parle G - 80g,"1,900 kj
(454 kcal)",7 g,77.3 g,13 g,,25 g,0 g
Peanut Butter - Sundrop,"645 kj
(647 kcal)",26.8 g,15.2 g,55 g,7.8 g,11.7 g,0.538 g
Corn flakes - Kelloggs - 475 g,"1,088 kj
(260 kcal)",6.7 g,86.9 g,1 g,2.5 g,9.2 g,1.225 g
Amul kool Cofe - 200 ml,"837 kj
(200 kcal)",6 g,23.8 g,9 g,,23.8 g,0.2 g
Pre-workout,,,0 g,0 g,,,
Peanut butter,"2,639 kj
(630 kcal)",26.35 g,18.8 g,50.02 g,,7.89 g,0.915 g
Salted peanuts - Haldiram's - 200g,"2,552 kj
(610 kcal)",26 g,18.5 g,48 g,,0.5 g,1.825 g
Peanut Butter Crunchy - Dr. Oetker FUNFOODS - 400g,,,,,,,91%
Kelloggs Muesli With 20% Nuts Delight - 400g,"1,653 kj
(395 kcal)",78.7 g,3.2 g,6.5 g,0 g,1.7 g,21.5 g
Munch - nestle - 10.4g,"544 kj
(130 kcal)",10 g,19 g,6 g,5 g,11 g,
Strawberry et Cream,"205 kj
(49 kcal)",1 g,12.2 g,0 g,,11.9 g,
Corn Flakes Original - kellogg - 30g,"1,582 kj
(378 kcal)",6.7 g,86.9 g,1 g,2.5 g,9.2 g,
Haldiram Lite Chiwda - Haldiram's - 200 g,"2,268 kj
(542 kcal)",8.02 g,56.34 g,31.63 g,3.86 g,2.16 g,1.775 g
Veg Hakka Noodles - Chings Secret - 600 g,"1,562 kj
(373 kcal)",12 g,80.67 g,1 g,,0 g,1.224 g
cadbury gems -  - 7.9g,,,,,,,0%
Milano - parle - 1,"2,167 kj
(518 kcal)",3.2 g,67 g,25.8 g,,31.5 g,0.48 g
Brown bread - Britannia - 400g,"1,029 kj
(246 kcal)",8.4 g,51 g,1.6 g,3 g,1.9 g,1.405 g
Amul Shrikand,"979 kj
(234 kcal)",5.3 g,42 g,5 g,0 g,41 g,0 g
Mango delight - pepsico - 200ml,"255 kj
(61 kcal)",0.2 g,15 g,0 g,,15 g,0.005 g
Boost - 500g,"1,561 kj
(373 kcal)",0 g,80 g,2.5 g,0 g,9.5 g,
Snickers Original Bar,"2,046 kj
(489 kcal)",9 g,58 g,24 g,55 g,47 g,1 g
Honey,"1,339 kj
(320 kcal)",0 g,80 g,0 g,0 g,80 g,0 g
Britannia cake - 120g,"1,695 kj
(405 kcal)",5 g,50 g,17 g,0 g,26.5 g,
potata - pran - 100g,"962 kj
(230 kcal)",4 g,36 g,8 g,7 g,11 g,1.225 g
ThumsUp,"151 kj
(36 kcal)",0 g,9 g,0 g,,9 g,0 g
Litchi Delight - Tropicana - 200 ml,"226 kj
(54 kcal)",0.1 g,13.4 g,0 g,,13.1 g,0.022 g
Amul Chocominis - 250g,"545 kj
(526 kcal)",5.3 g,61.1 g,29.3 g,0 g,56.6 g,0.15 g
Knorr - 14g,"219 kj
(52 kcal)",0.6 g,10.3 g,1.1 g,0.5 g,4.15 g,1.303 g
