food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Complete pancake mix,"1,523 kj
(364 kcal)",7.7 g,69.8 g,5.5 g,,12.7 g,8.69 g
Natural Greek Yogurt - Epigamua,"338 kj
(80 kcal)",8.21 g,6.2 g,2.56 g,,0 g,
Soya chips - haldirams - 50g,"2,268 kj
(542 kcal)",,,,,,
Bar One - Nestlé,"510 kj
(122 kcal)",1.3 g,14.5 g,4.3 g,,10.3 g,35.8 g
Les Fabuleuses / Boulette d'énergie Pomme-Cannelle,"1,188 kj
(284 kcal)",4.9 g,48.4 g,8.6 g,,38.7 g,0 g
Boulette d'énergie cacao cacahuete,"1,561 kj
(373 kcal)",9.9 g,49.6 g,15.1 g,,37.6 g,0.025 g
Boulette d'énergie Match-Coco,"1,590 kj
(380 kcal)",6.4 g,50.2 g,17.5 g,,39.2 g,0.03 g
Organic Brown Sugar (Desi Khand) - 500 g,"753 kj
(180 kcal)",4 g,36 g,2.5 g,,14 g,0 g
Moong dal,"1,992 kj
(476 kcal)",23 g,49 g,20 g,,2 g,0.5 g
Duke's,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,11 g
Bakarwadi - chitale - 250 g,"2,272 kj
(543 kcal)",8.97 g,46.85 g,35.63 g,,8.07 g,0.21 g
Periperi nachos &salsa dip - Colonel & co,"1,105 kj
(264 kcal)",4 g,42 g,9 g,,6 g,
Moong Dal Burfi - Haldiram s,"2,125 kj
(508 kcal)",8 g,56 g,28 g,,36 g,
almond fresh - so good india - 200 ml,,,,,,,2.60%
Quā,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0.025 g
Maiyas Moong Dal - 35,"1,992 kj
(476 kcal)",20.2 g,56.4 g,18.8 g,1 g,0 g,2.125 g
Rice Kodubale - Maiyas - 40,"2,255 kj
(539 kcal)",7.7 g,53.8 g,34.6 g,1.5 g,0 g,1.905 g
nutri choice - Britannia - 75g,"285 kj
(68 kcal)",8 g,68 g,21 g,6 g,14.5 g,
Mom's Magic - Sunfeast - 100g,"2,088 kj
(499 kcal)",8.1 g,65.1 g,22.9 g,,23.9 g,0.1 g
Pasteurized Toned Milk - Namaste India - 230 ml,"306 kj
(73 kcal)",3.52 g,7.8 g,3.1 g,0 g,0 g,0.108 g
catch sprinklers Table Salt - 100g,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,97.028 g
sattviko - 28gm,,,,,,,0%
Amul Sugar free chocolate - 150g,"1,987 kj
(475 kcal)",6 g,57.3 g,33.5 g,0 g,,
solen - 24 pieces,,,,,,,0%
7.1078E+11,,,,,,,0%
Rishi Phalswal - Cadbury,,,,,,,0%
kitkat - 25g,"444 kj
(106 kcal)",,,,,21 g,76.2 g
Prostar 100% whey,"1,674 kj
(400 kcal)",83.333 g,6.667 g,3.333 g,,3.333 g,0.25 g
8.90157E+12,,,,,,,0%
8.90411E+12,"2,000 kj
(478 kcal)",25 g,48.9 g,21.2 g,,0 g,"2,306.32 g"
Organic Coconut flour - Bob's Red Mill - 453 g,,,,,,,100%
Coated Wafer Layers - Perk,"2,159 kj
(516 kcal)",3.3 g,68 g,25.7 g,1.3 g,46.1 g,0.094 g
Vanilla Muffin Small - Bliss Chocolates India Pvt. Ltd. - 2 pcs,"1,615 kj
(386 kcal)",5.6 g,45.2 g,20.2 g,7.5 g,26.37 g,0 g
Pizza peanuts - Pizmame - 32g,,,,,,,0%
Goodrich - pizza topping - 200 g,"1,188 kj
(284 kcal)",12 g,5 g,24 g,0 g,0 g,0 g
Fennel fusion - choko la - 40g,"2,428 kj
(580 kcal)",7.11 g,51.39 g,38.49 g,,38.45 g,
Mohun's - 500grams,"1,573 kj
(376 kcal)",6.42 g,86 g,0.53 g,0.55 g,6.29 g,1.346 g
Nutri choise essentials - Britannia - 150 g,"2,000 kj
(478 kcal)",7 g,72 g,18 g,10 g,0 g,
Pillsbury cookie cake - choco nut butter - 22 g,"1,602 kj
(383 kcal)",,0.3 g,12.4 g,35 g,63 g,4.8 g
protinex mama - Danone - 250 g,"1,506 kj
(360 kcal)",32 g,57 g,1.5 g,,30.5 g,420 g
Real fruit power - 1l,,,,,,,0%
Spicy (Masala) Noddles Khakhara - Maniarr's - 45g,,,,,,,0%
Pizza Khakhara - Maniarr's - 45 g,"1.69 kj
(0 kcal)",,54.3 g,16.7 g,,,2.59 g
Hutsun flaovored milk chocolate - Hatsun - 200 ml,"753 kj
(180 kcal)",,10 g,3 g,32 g,32 g,7 g
Raw pressery life + - 250ml,0.1 g,2.743 g,10.1 g,,0.9 g,,20%
Lays Spanish Tomato - fssai - 90g,,,,,,,0%
nescafé cappuccino - nestle - 5 serving packets,"1,807 kj
(432 kcal)",11.5 g,71.2 g,11.3 g,1.3 g,64.9 g,320.2 g
India gate Basmati rice - KRBL limited - 1 kg,"1,439 kj
(344 kcal)",6.7 g,77 g,0.5 g,0.001 g,,0.262 g
Brewed vinegar - Del Monte - 180 g,0 g,,0 g,0 g,0 g,,0%
karachi's cashew biscuits - karachi bakery - 400 g,,,,,,,0%
kalimark vibro paneer - 500 ml,,,,,,,0%
